pattern_id,start_time,end_time,cup_depth,cup_duration,handle_depth,handle_duration,r_squared_cup,breakout_candle_timestamp,status,reason
01,2024-01-01 05:55:00,2024-01-01 07:01:00,195.09999999999854,52,36.0,6,0.8568724747817786,2024-01-01 07:01:00,Valid,
02,2024-01-02 08:08:00,2024-01-02 08:54:00,334.79999999999563,35,95.40000000000146,6,0.8542271563992043,2024-01-02 08:54:00,Valid,
03,2024-01-03 08:44:00,2024-01-03 09:28:00,272.40000000000146,31,107.40000000000146,6,0.9641603355936875,2024-01-03 09:28:00,Valid,
04,2024-01-04 10:29:00,2024-01-04 11:23:00,290.1999999999971,44,99.79999999999563,6,0.8595295075375734,2024-01-04 11:23:00,Valid,
05,2024-01-05 17:09:00,2024-01-05 18:40:00,426.8000000000029,67,144.90000000000146,16,0.8770288240055714,2024-01-05 18:40:00,Valid,
06,2024-01-06 23:09:00,2024-01-06 23:54:00,166.59999999999854,31,52.80000000000291,6,0.8798970180868373,2024-01-06 23:54:00,Valid,
07,2024-01-08 03:28:00,2024-01-08 04:08:00,262.5,31,85.40000000000146,6,0.918609541633093,2024-01-08 04:08:00,Valid,
08,2024-01-09 02:06:00,2024-01-09 04:31:00,240.09999999999854,131,77.0,6,0.8526377296344706,2024-01-09 04:31:00,Valid,
09,2024-01-10 01:24:00,2024-01-10 04:52:00,461.09999999999854,193,79.90000000000146,7,0.8530592859294898,2024-01-10 04:52:00,Valid,
10,2024-01-11 06:17:00,2024-01-11 07:09:00,262.70000000000437,31,100.20000000000437,13,0.8638318996756675,2024-01-11 07:09:00,Valid,
11,2024-01-12 10:37:00,2024-01-12 11:24:00,169.5,32,59.599999999998545,7,0.8525218343738538,2024-01-12 11:24:00,Valid,
12,2024-01-13 14:08:00,2024-01-13 15:04:00,257.5,46,92.09999999999854,6,0.8507274843865158,2024-01-13 15:04:00,Valid,
13,2024-01-14 23:51:00,2024-01-15 00:35:00,459.3000000000029,31,128.70000000000437,6,0.8806449707662043,2024-01-15 00:35:00,Valid,
14,2024-01-16 02:46:00,2024-01-16 03:58:00,265.59999999999854,51,87.09999999999854,13,0.852071466844223,2024-01-16 03:58:00,Valid,
15,2024-01-17 14:42:00,2024-01-17 19:25:00,477.09999999999854,250,94.0,25,0.8615808965120516,2024-01-17 19:25:00,Valid,
16,2024-01-18 21:19:00,2024-01-18 23:22:00,517.5,110,69.90000000000146,6,0.8517640265915836,2024-01-18 23:22:00,Valid,
17,2024-01-20 19:49:00,2024-01-20 20:46:00,138.5,38,52.599999999998545,11,0.937431809423714,2024-01-20 20:46:00,Valid,
18,2024-01-22 04:47:00,2024-01-22 05:30:00,315.8000000000029,31,36.599999999998545,6,0.8737009092571952,2024-01-22 05:30:00,Valid,
19,2024-01-23 01:30:00,2024-01-23 06:31:00,376.59999999999854,271,138.90000000000146,22,0.8512098804302782,2024-01-23 06:31:00,Valid,
20,2024-01-24 06:04:00,2024-01-24 07:15:00,232.0,31,75.09999999999854,32,0.922294470855693,2024-01-24 07:15:00,Valid,
21,2024-01-25 05:33:00,2024-01-25 08:00:00,291.8000000000029,114,59.400000000001455,25,0.8529546362818101,2024-01-25 08:00:00,Valid,
22,2024-01-26 07:58:00,2024-01-26 09:16:00,228.0,45,85.59999999999854,25,0.9179487824509892,2024-01-26 09:16:00,Valid,
23,2024-01-27 09:05:00,2024-01-27 10:13:00,255.40000000000146,46,94.0,14,0.9246354818384357,2024-01-27 10:13:00,Valid,
24,2024-01-28 20:15:00,2024-01-28 21:51:00,206.89999999999418,70,79.69999999999709,18,0.9161636962431475,2024-01-28 21:51:00,Valid,
